Ordinal,Description
"1","1000 = No Event"
"2","1001 = FIRE ALARM"
"3","1002 = FIRE SUPERVISORY ALARM"
"4","1003 = BURGLAR ALARM, ANY AREA"
"5","1004 = MEDICAL ALARM, ANY AREA"
"6","1005 = POLICE ALARM, ANY AREA"
"7","1006 = AUX1 24 HR, ANY AREA"
"8","1007 = AUX2 24 HR, ANY AREA"
"9","1008 = CARBON MONOXIDE ALARM, ANY AREA"
"10","1009 = EMERGENCY ALARM, ANY AREA"
"11","1010 = FREEZE ALARM, ANY AREA"
"12","1011 = GAS ALARM, ANY AREA"
"13","1012 = HEAT ALARM, ANY AREA"
"14","1013 = WATER ALARM, ANY AREA"
"15","1014 = ALARM, ANY AREA"
"16","1015 = BURGLAR ALARM IN AREA 1"
"17","1016 = BURGLAR ALARM IN AREA 2"
"18","1017 = BURGLAR ALARM IN AREA 3"
"19","1018 = BURGLAR ALARM IN AREA 4"
"20","1019 = BURGLAR ALARM IN AREA 5"
"21","1020 = BURGLAR ALARM IN AREA 6"
"22","1021 = BURGLAR ALARM IN AREA 7"
"23","1022 = BURGLAR ALARM IN AREA 8"
"24","1023 = MEDICAL ALARM IN AREA 1"
"25","1024 = MEDICAL ALARM IN AREA 2"
"26","1025 = MEDICAL ALARM IN AREA 3"
"27","1026 = MEDICAL ALARM IN AREA 4"
"28","1027 = MEDICAL ALARM IN AREA 5"
"29","1028 = MEDICAL ALARM IN AREA 6"
"30","1029 = MEDICAL ALARM IN AREA 7"
"31","1030 = MEDICAL ALARM IN AREA 8"
"32","1031 = POLICE ALARM IN AREA 1"
"33","1032 = POLICE ALARM IN AREA 2"
"34","1033 = POLICE ALARM IN AREA 3"
"35","1034 = POLICE ALARM IN AREA 4"
"36","1035 = POLICE ALARM IN AREA 5"
"37","1036 = POLICE ALARM IN AREA 6"
"38","1037 = POLICE ALARM IN AREA 7"
"39","1038 = POLICE ALARM IN AREA 8"
"40","1039 = AUX1 24 HR IN AREA 1"
"41","1040 = AUX1 24 HR IN AREA 2"
"42","1041 = AUX1 24 HR IN AREA 3"
"43","1042 = AUX1 24 HR IN AREA 4"
"44","1043 = AUX1 24 HR IN AREA 5"
"45","1044 = AUX1 24 HR IN AREA 6"
"46","1045 = AUX1 24 HR IN AREA 7"
"47","1046 = AUX1 24 HR IN AREA 8"
"48","1047 = AUX2 24 HR IN AREA 1"
"49","1048 = AUX2 24 HR IN AREA 2"
"50","1049 = AUX2 24 HR IN AREA 3"
"51","1050 = AUX2 24 HR IN AREA 4"
"52","1051 = AUX2 24 HR IN AREA 5"
"53","1052 = AUX2 24 HR IN AREA 6"
"54","1053 = AUX2 24 HR IN AREA 7"
"55","1054 = AUX2 24 HR IN AREA 8"
"56","1055 = CO ALARM IN AREA 1"
"57","1056 = CO ALARM IN AREA 2"
"58","1057 = CO ALARM IN AREA 3"
"59","1058 = CO ALARM IN AREA 4"
"60","1059 = CO ALARM IN AREA 5"
"61","1060 = CO ALARM IN AREA 6"
"62","1061 = CO ALARM IN AREA 7"
"63","1062 = CO ALARM IN AREA 8"
"64","1063 = EMERGENCY ALARM IN AREA 1"
"65","1064 = EMERGENCY ALARM IN AREA 2"
"66","1065 = EMERGENCY ALARM IN AREA 3"
"67","1066 = EMERGENCY ALARM IN AREA 4"
"68","1067 = EMERGENCY ALARM IN AREA 5"
"69","1068 = EMERGENCY ALARM IN AREA 6"
"70","1069 = EMERGENCY ALARM IN AREA 7"
"71","1070 = EMERGENCY ALARM IN AREA 8"
"72","1071 = FREEZE ALARM IN AREA 1"
"73","1072 = FREEZE ALARM IN AREA 2"
"74","1073 = FREEZE ALARM IN AREA 3"
"75","1074 = FREEZE ALARM IN AREA 4"
"76","1075 = FREEZE ALARM IN AREA 5"
"77","1076 = FREEZE ALARM IN AREA 6"
"78","1077 = FREEZE ALARM IN AREA 7"
"79","1078 = FREEZE ALARM IN AREA 8"
"80","1079 = GAS ALARM IN AREA 1"
"81","1080 = GAS ALARM IN AREA 2"
"82","1081 = GAS ALARM IN AREA 3"
"83","1082 = GAS ALARM IN AREA 4"
"84","1083 = GAS ALARM IN AREA 5"
"85","1084 = GAS ALARM IN AREA 6"
"86","1085 = GAS ALARM IN AREA 7"
"87","1086 = GAS ALARM IN AREA 8"
"88","1087 = HEAT ALARM IN AREA 1"
"89","1088 = HEAT ALARM IN AREA 2"
"90","1089 = HEAT ALARM IN AREA 3"
"91","1090 = HEAT ALARM IN AREA 4"
