PanelType,WordListVer,Value,Description
"M1G","0.8","-512","[Say On/Off]"
"M1G","0.8","-511","[Say Off/On]"
"M1G","0.8","-510","[Say Open/Closed]"
"M1G","0.8","-509","[Say Closed/Open]"
"M1G","0.8","-508","[Say Up/Down]"
"M1G","0.8","-507","[Say Down/Up]"
"M1G","0.8","-506","[Say Secure/NotSecure]"
"M1G","0.8","-505","[Say NotSecure/Secure]"
"M1G","0.8","-504","[Say Locked/Unlocked]"
"M1G","0.8","-503","[Say Unlocked/Locked]"
"M1G","0.8","-5","[Say Number]"
"M1G","0.8","-4","[Inverted Condition]"
"M1G","0.8","-3","[Insert Time]"
"M1G","0.8","-2","[Insert Condition]"
"M1G","0.8","0","{Blank}"
"M1G","0.8","1","'Custom1'"
"M1G","0.8","2","'Custom2'"
"M1G","0.8","3","'Custom3'"
"M1G","0.8","4","'Custom4'"
"M1G","0.8","5","'Custom5'"
"M1G","0.8","6","'Custom6'"
"M1G","0.8","7","'Custom7'"
"M1G","0.8","8","'Custom8'"
"M1G","0.8","9","'Custom9'"
"M1G","0.8","10","'Custom10'"
"M1G","0.8","21","Zero"
"M1G","0.8","22","One"
"M1G","0.8","23","Two"
"M1G","0.8","24","Three"
"M1G","0.8","25","Four"
"M1G","0.8","26","Five"
"M1G","0.8","27","Six"
"M1G","0.8","28","Seven"
"M1G","0.8","29","Eight"
"M1G","0.8","30","Nine"
"M1G","0.8","31","Ten"
"M1G","0.8","32","Eleven"
"M1G","0.8","33","Twelve"
"M1G","0.8","34","Thirteen"
"M1G","0.8","35","Fourteen"
"M1G","0.8","36","Fifteen"
"M1G","0.8","37","Sixteen"
"M1G","0.8","38","Seventeen"
"M1G","0.8","39","Eighteen"
"M1G","0.8","40","Nineteen"
"M1G","0.8","41","Twenty"
"M1G","0.8","42","Thirty"
"M1G","0.8","43","Fourty"
"M1G","0.8","44","Fifty"
"M1G","0.8","45","Sixty"
"M1G","0.8","46","Seventy"
"M1G","0.8","47","Eighty"
"M1G","0.8","48","Ninety"
"M1G","0.8","49","Hundred"
"M1G","0.8","50","Thousand"
"M1G","0.8","51","[200ms Silence]"
"M1G","0.8","52","[500ms Silence]"
"M1G","0.8","53","[800hz Tone]"
"M1G","0.8","54","A"
"M1G","0.8","55","Access"
"M1G","0.8","56","Acknowledged"
"M1G","0.8","57","AC power"
"M1G","0.8","58","Activate"
"M1G","0.8","59","Activated"
"M1G","0.8","60","Active"
"M1G","0.8","61","Adjust"
"M1G","0.8","62","Air"
"M1G","0.8","63","Alarm"
"M1G","0.8","64","Alert"
"M1G","0.8","65","All"
"M1G","0.8","66","AM"
"M1G","0.8","67","An"
"M1G","0.8","68","And"
"M1G","0.8","69","Answer"
"M1G","0.8","70","Any"
"M1G","0.8","71","Are"
"M1G","0.8","72","Area"
"M1G","0.8","73","Arm"
"M1G","0.8","74","Armed"
"M1G","0.8","75","At"
"M1G","0.8","76","Attic"
"M1G","0.8","77","Audio"
"M1G","0.8","78","Auto"
"M1G","0.8","79","Authorized"
"M1G","0.8","80","Automatic"
"M1G","0.8","81","Automation"
"M1G","0.8","82","Auxiliary"
"M1G","0.8","83","Away"
"M1G","0.8","84","B"
"M1G","0.8","85","Back"
"M1G","0.8","86","Barn"
"M1G","0.8","87","Basement"
"M1G","0.8","88","Bathroom"
"M1G","0.8","89","Battery"
"M1G","0.8","90","Bedroom"
"M1G","0.8","91","Been"
"M1G","0.8","92","Bell"
"M1G","0.8","93","Bottom"
"M1G","0.8","94","Break"
"M1G","0.8","95","Breakfast"
"M1G","0.8","96","Bright"
"M1G","0.8","97","Building"
"M1G","0.8","98","Burglar"
"M1G","0.8","99","Button"
"M1G","0.8","100","By"
"M1G","0.8","101","Bypassed"
"M1G","0.8","102","Cabinet"
"M1G","0.8","103","Call"
"M1G","0.8","104","Camera"
"M1G","0.8","105","Cancel"
"M1G","0.8","106","Carbon monoxide"
"M1G","0.8","107","Card"
"M1G","0.8","108","Center"
"M1G","0.8","109","Central"
"M1G","0.8","110","Change"
"M1G","0.8","111","Check"
"M1G","0.8","112","Chime"
"M1G","0.8","113","Circuit"
"M1G","0.8","114","Clear"
"M1G","0.8","115","Closed"
"M1G","0.8","116","Closet"
"M1G","0.8","117","Code"
"M1G","0.8","118","Cold"
"M1G","0.8","119","Condition"
"M1G","0.8","120","Connect"
"M1G","0.8","121","Control"
"M1G","0.8","122","Cool"
"M1G","0.8","123","Cooling"
"M1G","0.8","124","Corner"
"M1G","0.8","125","Crawlspace"
"M1G","0.8","126","Danger"
"M1G","0.8","127","Day"
"M1G","0.8","128","Deck"
"M1G","0.8","129","Decrease"
"M1G","0.8","130","Defective"
"M1G","0.8","131","Degrees"
"M1G","0.8","132","Delay"
"M1G","0.8","133","Den"
"M1G","0.8","134","Denied"
"M1G","0.8","135","Detected"
"M1G","0.8","136","Detector"
"M1G","0.8","137","Device"
"M1G","0.8","138","Dial"
"M1G","0.8","139","Dialing"
"M1G","0.8","140","Dim"
"M1G","0.8","141","Dining room"
"M1G","0.8","142","Disable"
"M1G","0.8","143","Disarm"
"M1G","0.8","144","Disarmed"
"M1G","0.8","145","Dock"
"M1G","0.8","146","Door"
"M1G","0.8","147","Doors"
"M1G","0.8","148","Down"
"M1G","0.8","149","Driveway"
"M1G","0.8","150","East"
"M1G","0.8","151","Emergency"
"M1G","0.8","152","Enable"
"M1G","0.8","153","End"
"M1G","0.8","154","Energy"
"M1G","0.8","155","Enrollment"
